Pad adapter board channel mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,i127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,102,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,101,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,98,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,97,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,j8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,96,1,1,96,,96,1,1,96,,,,,,,,,,,,,,,,,,,,,
,,P1,j9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,95,2,2,95,,95,2,2,95,,,,,,,,,,,,,,,,,,,,,
,,P1,j10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,,94,3,3,94,,94,3,3,94,,,,,,,,,,,,,,,,,,,,,
,,P1,j11,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,93,4,4,93,,93,4,4,93,,,,,,,,,,,,,,,,,,,,,
,,P1,j12,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,,,92,5,5,92,,92,5,5,92,,,,,,,,,,,,,,,,,,,,,
,,P1,j13,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,,91,6,6,91,,91,6,6,91,,,,,,,,,,,,,,,,,,,,,
,,P1,j14,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,90,7,7,90,,90,7,7,90,,,,,,,,,,,,,,,,,,,,,
,,P1,j15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,89,8,8,89,,89,8,8,89,,,,,,,,,,,,,,,,,,,,,
,,P1,j16,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,,,88,9,9,88,,88,9,9,88,,,,,,,,,,,,,,,,,,,,,
,,P1,j17,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,87,10,10,87,,87,10,10,87,,,,,,,,,,,,,,,,,,,,,
,,P1,j18,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,,,86,11,11,86,,86,11,11,86,,,,,,,,,,,,,,,,,,,,,
,,P1,j19,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,,,85,12,12,85,,85,12,12,85,,,,,,,,,,,,,,,,,,,,,
,,P1,j20,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21,,,84,13,13,84,,84,13,13,84,,,,,,,,,,,,,,,,,,,,,
,,P1,j21,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,,,83,14,14,83,,83,14,14,83,,,,,,,,,,,,,,,,,,,,,
,,P1,j22,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,,,82,15,15,82,,82,15,15,82,,,,,,,,,,,,,,,,,,,,,
,,P1,j23,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,,,81,16,16,81,,81,16,16,81,,,,,,,,,,,,,,,,,,,,,
,,P1,j24,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,24,25,,,80,17,17,80,,80,17,17,80,,,,1,,,,,,,,,,,,,,,,,
,,P1,j25,,,2,2,,,,2,2,,,,,,,,,,,,,,,,,,,25,26,,,79,18,18,79,,79,18,18,79,,,,2,,,,,,,,,,,,,,,,,
,,P1,j26,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,,,26,27,,,78,19,19,78,,78,19,19,78,,,,3,,,,,,,,60,,,70,,52,,,56,
,,P1,j27,,,4,4,,,,4,4,,,,,,,,,,,,,,,,,,,27,28,,,77,20,20,77,,77,20,20,77,,,,4,,,,,,,,59,,,69,,51,,,55,
,,P1,j28,,,5,5,,,,5,5,,,,,,,,,,,,,,,,,,,28,29,,,76,21,21,76,,76,21,21,76,,,,5,,,,,,,,58,,,68,,50,,,54,
,,P1,j29,,,6,6,,,,6,6,,,,,,,,,,,,,,,,,,,29,30,,,75,22,22,75,,75,22,22,75,,,,6,75,,,,,,,57,,,67,,49,,,53,
,,P1,j30,,,7,7,,,,7,7,,,,,,,,,,,,,,,,,,,30,31,,,74,23,23,74,,74,23,23,74,,,,7,74,,,,,,,56,,,66,,48,,,52,
,,P1,j31,,,8,8,,,,8,8,,,,,,,,,,,,,,,,,,,31,32,,,73,24,24,73,,73,24,24,73,,,,8,73,,,,,,,55,,,65,,47,,,51,
,,P1,j32,,,9,9,,,,9,9,72,,,,,,,,,,,,,,,,,,32,33,,,72,25,25,72,,72,25,25,72,,,,9,72,,,,,,,54,,,64,,46,,,50,
,,P1,j33,,,10,10,,,,10,10,71,,,,,,,,,,,,,,,,,,33,34,,,71,26,26,71,,71,26,26,71,,,,10,71,,,,,,,53,,,63,,45,,,49,
,,P1,j34,,,11,11,,,,11,11,70,,,,,,,,,,,,,,,,,,34,35,,,70,27,27,70,,70,27,27,70,,,1,11,70,,,1,1,,,52,,1,62,,44,,,48,
,,P1,j35,,,12,12,,,,12,12,69,,,,,,,,,,,,,,,,,,35,36,,,69,28,28,69,,69,28,28,69,,,2,12,69,,,2,2,,,51,,2,61,,43,,,47,
,,P1,j36,,68,13,13,,,68,13,13,68,,,,,,,,,,,,,,,,,,36,37,,,68,29,29,68,,68,29,29,68,,,3,13,68,,,3,3,,,50,,3,60,,42,,,46,
,,P1,j37,,67,14,14,,,67,14,14,67,,,,,,,,,,,,,,,,,,37,38,,,67,30,30,67,,67,30,30,67,,,4,14,67,,,4,4,,,49,,4,59,,41,,,45,
,,P1,j38,,66,15,15,,,66,15,15,66,,,,,,,,,,,,,,,,,,38,39,,,66,31,31,66,,66,31,31,66,,56,5,15,66,,56,5,5,56,,48,,5,58,,40,,,44,
,,P1,j39,,65,16,16,,,65,16,16,65,,,,,,,,,,,,,,,,,,39,40,,,65,32,32,65,,65,32,32,65,,55,6,16,65,,55,6,6,55,,47,,6,57,,39,,,43,
,,P1,j40,,64,17,17,,,64,17,17,64,,,,,,,48,1,,,,,,,,,,,41,,,64,33,33,64,,64,33,33,64,,54,7,17,64,,54,7,7,54,,46,,7,56,,38,,,42,
,,P1,j41,,63,18,18,,,63,18,18,63,,,,,45,,47,2,,45,,,,,,,,,42,,,63,34,34,63,,63,34,34,63,,53,8,18,63,,53,8,8,53,,45,,8,55,,37,,,41,
,,P1,j42,,62,19,19,,,62,19,19,62,,,,1,44,,46,3,1,44,,,,,,,,,,,,62,35,35,62,,62,35,35,62,,52,9,19,62,,52,9,9,52,,44,,9,54,,36,,,40,
,,P1,j43,,61,20,20,,,61,20,20,61,,,,2,43,,45,4,2,43,,,,,,,,,,,,61,36,36,61,,61,36,36,61,,51,10,20,61,,51,10,10,51,,43,,10,53,,35,,,39,
,,P1,j44,,60,21,21,,,60,21,21,60,,,,3,42,,44,5,3,42,,,,,,,,,,,,60,37,37,60,,60,37,37,60,,50,11,21,60,,50,11,11,50,,42,1,11,52,,34,,,38,
,,P1,j45,,59,22,22,,,59,22,22,59,,,,4,41,,43,6,4,41,,,,,,,,,,,,59,38,38,59,,59,38,38,59,,49,12,22,59,,49,12,12,49,,41,2,12,51,,33,,,37,
,,P1,j46,,58,23,23,,,58,23,23,58,,,,5,40,,42,7,5,40,,,,,,,,,,,,58,39,39,58,,58,39,39,58,,48,13,23,58,,48,13,13,48,,40,3,13,50,,32,,,36,
,,P1,j47,,57,24,24,,,57,24,24,57,,,,6,39,,41,8,6,39,,,,,,,,,,,,57,40,40,57,,57,40,40,57,,47,14,24,57,,47,14,14,47,,39,4,14,49,,31,,,35,
,,P1,j48,,56,25,25,,,56,25,25,56,,,,7,38,,40,9,7,38,,,,,,,,,,,,56,41,41,56,,56,41,41,56,,46,15,25,56,,46,15,15,46,,38,5,15,48,,30,,1,34,
,,P1,j49,,55,26,26,,,55,26,26,55,,30,1,8,37,,39,10,8,37,,,,,,,,,,,,55,42,42,55,,55,42,42,55,,45,16,26,55,,45,16,16,45,,37,6,16,47,,29,,2,33,
,,P1,j50,,54,27,27,,,54,27,27,54,,29,2,9,36,,38,11,9,36,,,,,,,,,,,,54,43,43,54,,54,43,43,54,,44,17,27,54,,44,17,17,44,,36,7,17,46,,28,,3,32,
,,P1,j51,,53,28,28,,,53,28,28,53,,28,3,10,35,,37,12,10,35,,,,,,,,,,,,53,44,44,53,,53,44,44,53,,43,18,28,53,,43,18,18,43,,35,8,18,45,,27,,4,31,
,,P1,j52,,52,29,29,,,52,29,29,52,,27,4,11,34,,36,13,11,34,,,,,,,,,,,,52,45,45,52,,52,45,45,52,,42,19,29,52,,42,19,19,42,,34,9,19,44,,26,1,5,30,
,,P1,j53,,51,30,30,51,,51,30,30,51,,26,5,12,33,,35,14,12,33,,,,,,,,,,,,51,46,46,51,,51,46,46,51,,41,20,30,51,,41,20,20,41,,33,10,20,43,,25,2,6,29,
,,P1,j54,,50,31,31,50,,50,31,31,50,,25,6,13,32,,34,15,13,32,,,,,,,,,,,,50,47,47,50,,50,47,47,50,,40,21,31,50,,40,21,21,40,,32,11,21,42,,24,3,7,28,
,,P1,j55,,49,32,32,49,,49,32,32,49,,24,7,14,31,,33,16,14,31,,,,,,,,,,,,49,48,48,49,,49,48,48,49,,39,22,32,49,,39,22,22,39,,31,12,22,41,,23,4,8,27,
,,P1,j56,,48,33,33,48,,48,33,33,48,,23,8,15,30,,32,17,15,30,,,,,,,,,,,,48,49,49,48,,48,49,49,48,,38,23,33,48,,38,23,23,38,,30,13,23,40,,22,5,9,26,
,,P1,j57,,47,34,34,47,,47,34,34,47,,22,9,16,29,,31,18,16,29,,,,,,,,,,,,47,50,50,47,,47,50,50,47,,37,24,34,47,,37,24,24,37,,29,14,24,39,,21,6,10,25,
,,P1,j58,,46,35,35,46,,46,35,35,46,,21,10,17,28,,30,19,17,28,,,,,,,,,,,,46,51,51,46,,46,51,51,46,,36,25,35,46,,36,25,25,36,,28,15,25,38,,20,7,11,24,
,,P1,j59,,45,36,36,45,,45,36,36,45,,20,11,18,27,,29,20,18,27,,,,,,,,,,,,45,52,52,45,,45,52,52,45,,35,26,36,45,,35,26,26,35,,27,16,26,37,,19,8,12,23,
,,P1,j60,,44,37,37,44,,44,37,37,44,,19,12,19,26,,28,21,19,26,,,,,,,,,,,,44,53,53,44,,44,53,53,44,,34,27,37,44,,34,27,27,34,,26,17,27,36,,18,9,13,22,
,,P1,j61,,43,38,38,43,,43,38,38,43,,18,13,20,25,,27,22,20,25,,,,,,,,,,,,43,54,54,43,,43,54,54,43,,33,28,38,43,,33,28,28,33,,25,18,28,35,,17,10,14,21,
,,P1,j62,,42,39,39,42,,42,39,39,42,,17,14,21,24,,26,23,21,24,,,,,,,,,,,,42,55,55,42,,42,55,55,42,,32,29,39,42,,32,29,29,32,,24,19,29,34,,16,11,15,20,
,,P1,j63,,41,40,40,41,,41,40,40,41,,16,15,22,23,,25,24,22,23,,,,,,,,,,,,41,56,56,41,,41,56,56,41,,31,30,40,41,,31,30,30,31,,23,20,30,33,,15,12,16,19,
,,P1,j64,,40,41,41,40,,40,41,41,40,,15,16,23,22,,24,25,23,22,,,,,,,,,,42,,40,57,57,40,,40,57,57,40,,30,31,41,40,,30,31,31,30,,22,21,31,32,,14,13,17,18,
,,P1,j65,,39,42,42,39,,39,42,42,39,,14,17,24,21,,23,26,24,21,,,,,39,,,,,41,,39,58,58,39,,39,58,58,39,,29,32,42,39,,29,32,32,29,,21,22,32,31,,13,14,18,17,
,,P1,j66,,38,43,43,38,,38,43,43,38,,13,18,25,20,,22,27,25,20,,,,1,38,,39,,,40,,38,59,59,38,,38,59,59,38,,28,33,43,38,,28,33,33,28,,20,23,33,30,,12,15,19,16,
,,P1,j67,,37,44,44,37,,37,44,44,37,,12,19,26,19,,21,28,26,19,,,,2,37,,38,,,39,,37,60,60,37,,37,60,60,37,,27,34,44,37,,27,34,34,27,,19,24,34,29,,11,16,20,15,
,,P1,j68,,36,45,45,36,,36,45,45,36,,11,20,27,18,,20,29,27,18,,,,3,36,,37,,,38,,36,61,61,36,,36,61,61,36,,26,35,45,36,,26,35,35,26,,18,25,35,28,,10,17,21,14,
,,P1,j69,,35,46,46,35,,35,46,46,35,,10,21,28,17,,19,30,28,17,,,,4,35,,36,,,37,,35,62,62,35,,35,62,62,35,,25,36,46,35,,25,36,36,25,,17,26,36,27,,9,18,22,13,
,,P1,j70,,34,47,47,34,,34,47,47,34,,9,22,29,16,,18,31,29,16,,,,5,34,,35,,,36,,34,63,63,34,,34,63,63,34,,24,37,47,34,,24,37,37,24,,16,27,37,26,,8,19,23,12,
,,P1,j71,,33,48,48,33,,33,48,48,33,,8,23,30,15,,17,32,30,15,,,,6,33,,34,,,35,,33,64,64,33,,33,64,64,33,,23,38,48,33,,23,38,38,23,,15,28,38,25,,7,20,24,11,
,,P1,j72,,32,49,49,32,,32,49,49,32,,7,24,31,14,,16,33,31,14,,,,7,32,,33,,,34,,32,65,65,32,,32,65,65,32,,22,39,49,32,,22,39,39,22,,14,29,39,24,,6,21,25,10,
,,P1,j73,,31,50,50,31,,31,50,50,31,,6,25,32,13,,15,34,32,13,,24,1,8,31,,32,,,33,,31,66,66,31,,31,66,66,31,,21,40,50,31,,21,40,40,21,,13,30,40,23,,5,22,26,9,
,,P1,j74,,30,51,51,30,,30,51,51,30,,5,26,33,12,,14,35,33,12,,23,2,9,30,,31,,,32,,30,67,67,30,,30,67,67,30,,20,41,51,30,,20,41,41,20,,12,31,41,22,,4,23,27,8,
,,P1,j75,,29,52,,29,,29,52,52,29,,4,27,34,11,,13,36,34,11,,22,3,10,29,,30,,,31,,29,68,68,29,,29,68,68,29,,19,42,52,29,,19,42,42,19,,11,32,42,21,,3,24,28,7,
,,P1,j76,,28,53,,28,,28,53,53,28,,3,28,35,10,,12,37,35,10,,21,4,11,28,,29,,,30,,28,69,69,28,,28,69,69,28,,18,43,53,28,,18,43,43,18,,10,33,43,20,,2,25,29,6,
,,P1,j77,,27,54,,27,,27,54,54,27,,2,29,36,9,,11,38,36,9,,20,5,12,27,,28,,,29,,27,70,70,27,,27,70,70,27,,17,44,54,27,,17,44,44,17,,9,34,44,19,,1,26,30,5,
,,P1,j78,,26,55,,26,,26,55,55,26,,1,30,37,8,,10,39,37,8,,19,6,13,26,,27,,,28,,26,71,71,26,,26,71,71,26,,16,45,55,26,,16,45,45,16,,8,35,45,18,,,27,31,4,
,,P1,j79,,25,56,,25,,25,56,56,25,,,,38,7,,9,40,38,7,,18,7,14,25,,26,,,27,,25,72,72,25,,25,72,72,25,,15,46,56,25,,15,46,46,15,,7,36,46,17,,,28,32,3,
,,P1,j80,,24,57,,24,,24,57,57,24,,,,39,6,,8,41,39,6,,17,8,15,24,,25,,,26,,24,73,73,24,,24,73,73,24,,14,47,57,24,,14,47,47,14,,6,37,47,16,,,29,33,2,
,,P1,j81,,23,58,,23,,23,58,58,23,,,,40,5,,7,42,40,5,,16,9,16,23,,24,,,25,,23,74,74,23,,23,74,74,23,,13,48,58,23,,13,48,48,13,,5,38,48,15,,,30,34,1,
,,P1,j82,,22,59,,22,,22,59,59,22,,,,41,4,,6,43,41,4,,15,10,17,22,,23,,,24,,22,75,75,22,,22,75,75,22,,12,49,59,22,,12,49,49,12,,4,39,49,14,,,31,35,,
,,P1,j83,,21,60,,21,,21,60,60,21,,,,42,3,,5,44,42,3,,14,11,18,21,,22,,,23,,21,76,76,21,,21,76,76,21,,11,50,60,21,,11,50,50,11,,3,40,50,13,,,32,36,,
,,P1,j84,,20,61,,20,,20,61,61,20,,,,43,2,,4,45,43,2,,13,12,19,20,,21,,,22,,20,77,77,20,,20,77,77,20,,10,51,61,20,,10,51,51,10,,2,41,51,12,,,33,37,,
,,P1,j85,,19,62,,19,,19,62,62,19,,,,44,1,,3,46,44,1,,12,13,20,19,,20,,,21,,19,78,78,19,,19,78,78,19,,9,52,62,19,,9,52,52,9,,1,42,52,11,,,34,38,,
,,P1,j86,,18,63,,18,,18,63,63,18,,,,45,,,2,47,45,,,11,14,21,18,,19,,,20,,18,79,79,18,,18,79,79,18,,8,53,63,18,,8,53,53,8,,,43,53,10,,,35,39,,
,,P1,j87,,17,64,,17,,17,64,64,17,,,,,,,1,48,,,,10,15,22,17,,18,,,19,,17,80,80,17,,17,80,80,17,,7,54,64,17,,7,54,54,7,,,44,54,9,,,36,40,,
